,model,gsm_var,language,accuracy
0,gemma-3-1b-it,v1,Danish,0.0
1,gemma-3-1b-it,v10,Danish,0.0
2,gemma-3-1b-it,v11,Danish,0.0
3,gemma-3-1b-it,v12,Danish,0.0
4,gemma-3-1b-it,v13,Danish,0.0
5,gemma-3-1b-it,v14,Danish,0.0
6,gemma-3-1b-it,v15,Danish,0.0
7,gemma-3-1b-it,v16,Danish,0.0
8,gemma-3-1b-it,v17,Danish,0.0
9,gemma-3-1b-it,v18,Danish,0.0
10,gemma-3-1b-it,v19,Danish,0.0
11,gemma-3-1b-it,v2,Danish,0.0
12,gemma-3-1b-it,v20,Danish,0.0
13,gemma-3-1b-it,v3,Danish,0.0
14,gemma-3-1b-it,v4,Danish,0.0
15,gemma-3-1b-it,v5,Danish,0.0
16,gemma-3-1b-it,v6,Danish,0.0
17,gemma-3-1b-it,v7,Danish,0.0
18,gemma-3-1b-it,v8,Danish,0.0
19,gemma-3-1b-it,v9,Danish,0.0
