,model,gsm_var,language,accuracy
0,OLMo-1B-hf,v1,Danish,0.0
1,OLMo-1B-hf,v10,Danish,0.01
2,OLMo-1B-hf,v11,Danish,0.0
3,OLMo-1B-hf,v12,Danish,0.0
4,OLMo-1B-hf,v13,Danish,0.0
5,OLMo-1B-hf,v14,Danish,0.0
6,OLMo-1B-hf,v15,Danish,0.0
7,OLMo-1B-hf,v16,Danish,0.0
8,OLMo-1B-hf,v17,Danish,0.0
9,OLMo-1B-hf,v18,Danish,0.0
10,OLMo-1B-hf,v19,Danish,0.0
11,OLMo-1B-hf,v2,Danish,0.0
12,OLMo-1B-hf,v20,Danish,0.0
13,OLMo-1B-hf,v3,Danish,0.0
14,OLMo-1B-hf,v4,Danish,0.0
15,OLMo-1B-hf,v5,Danish,0.0
16,OLMo-1B-hf,v6,Danish,0.0
17,OLMo-1B-hf,v7,Danish,0.0
18,OLMo-1B-hf,v8,Danish,0.01
19,OLMo-1B-hf,v9,Danish,0.0
