,model,gsm_var,language,accuracy
0,Llama-3.2-1B,v1,English,0.01
1,Llama-3.2-1B,v10,English,0.0
2,Llama-3.2-1B,v11,English,0.01
3,Llama-3.2-1B,v12,English,0.01
4,Llama-3.2-1B,v13,English,0.01
5,Llama-3.2-1B,v14,English,0.01
6,Llama-3.2-1B,v15,English,0.0
7,Llama-3.2-1B,v16,English,0.01
8,Llama-3.2-1B,v17,English,0.0
9,Llama-3.2-1B,v18,English,0.0
10,Llama-3.2-1B,v19,English,0.01
11,Llama-3.2-1B,v2,English,0.01
12,Llama-3.2-1B,v20,English,0.01
13,Llama-3.2-1B,v3,English,0.021
14,Llama-3.2-1B,v4,English,0.0
15,Llama-3.2-1B,v5,English,0.0
16,Llama-3.2-1B,v6,English,0.01
17,Llama-3.2-1B,v7,English,0.021
18,Llama-3.2-1B,v8,English,0.0
19,Llama-3.2-1B,v9,English,0.01
