,model,gsm_var,language,accuracy
0,Llama-3.2-1B,v1,Danish,0.01
1,Llama-3.2-1B,v10,Danish,0.01
2,Llama-3.2-1B,v11,Danish,0.01
3,Llama-3.2-1B,v12,Danish,0.01
4,Llama-3.2-1B,v13,Danish,0.01
5,Llama-3.2-1B,v14,Danish,0.0
6,Llama-3.2-1B,v15,Danish,0.01
7,Llama-3.2-1B,v16,Danish,0.021
8,Llama-3.2-1B,v17,Danish,0.0
9,Llama-3.2-1B,v18,Danish,0.01
10,Llama-3.2-1B,v19,Danish,0.0
11,Llama-3.2-1B,v2,Danish,0.01
12,Llama-3.2-1B,v20,Danish,0.021
13,Llama-3.2-1B,v3,Danish,0.0
14,Llama-3.2-1B,v4,Danish,0.01
15,Llama-3.2-1B,v5,Danish,0.01
16,Llama-3.2-1B,v6,Danish,0.031
17,Llama-3.2-1B,v7,Danish,0.0
18,Llama-3.2-1B,v8,Danish,0.0
19,Llama-3.2-1B,v9,Danish,0.01
