,model,gsm_var,language,accuracy
0,Llama-3.2-1B-Instruct,v1,Danish,0.031
1,Llama-3.2-1B-Instruct,v10,Danish,0.031
2,Llama-3.2-1B-Instruct,v11,Danish,0.041
3,Llama-3.2-1B-Instruct,v12,Danish,0.0
4,Llama-3.2-1B-Instruct,v13,Danish,0.0
5,Llama-3.2-1B-Instruct,v14,Danish,0.01
6,Llama-3.2-1B-Instruct,v15,Danish,0.021
7,Llama-3.2-1B-Instruct,v16,Danish,0.031
8,Llama-3.2-1B-Instruct,v17,Danish,0.01
9,Llama-3.2-1B-Instruct,v18,Danish,0.01
10,Llama-3.2-1B-Instruct,v19,Danish,0.021
11,Llama-3.2-1B-Instruct,v2,Danish,0.041
12,Llama-3.2-1B-Instruct,v20,Danish,0.041
13,Llama-3.2-1B-Instruct,v3,Danish,0.041
14,Llama-3.2-1B-Instruct,v4,Danish,0.041
15,Llama-3.2-1B-Instruct,v5,Danish,0.052
16,Llama-3.2-1B-Instruct,v6,Danish,0.01
17,Llama-3.2-1B-Instruct,v7,Danish,0.021
18,Llama-3.2-1B-Instruct,v8,Danish,0.021
19,Llama-3.2-1B-Instruct,v9,Danish,0.031
