,model,gsm_var,language,accuracy
0,Pleias-1.2b-Preview,v1,Danish,0.0
1,Pleias-1.2b-Preview,v10,Danish,0.0
2,Pleias-1.2b-Preview,v11,Danish,0.0
3,Pleias-1.2b-Preview,v12,Danish,0.0
4,Pleias-1.2b-Preview,v13,Danish,0.0
5,Pleias-1.2b-Preview,v14,Danish,0.0
6,Pleias-1.2b-Preview,v15,Danish,0.0
7,Pleias-1.2b-Preview,v16,Danish,0.0
8,Pleias-1.2b-Preview,v17,Danish,0.0
9,Pleias-1.2b-Preview,v18,Danish,0.0
10,Pleias-1.2b-Preview,v19,Danish,0.0
11,Pleias-1.2b-Preview,v2,Danish,0.0
12,Pleias-1.2b-Preview,v20,Danish,0.0
13,Pleias-1.2b-Preview,v3,Danish,0.0
14,Pleias-1.2b-Preview,v4,Danish,0.0
15,Pleias-1.2b-Preview,v5,Danish,0.0
16,Pleias-1.2b-Preview,v6,Danish,0.0
17,Pleias-1.2b-Preview,v7,Danish,0.0
18,Pleias-1.2b-Preview,v8,Danish,0.0
19,Pleias-1.2b-Preview,v9,Danish,0.0
