,model,gsm_var,language,accuracy
0,Llama-3.1-8B-Instruct,v1,English,0.175
1,Llama-3.1-8B-Instruct,v10,English,0.175
2,Llama-3.1-8B-Instruct,v11,English,0.206
3,Llama-3.1-8B-Instruct,v12,English,0.155
4,Llama-3.1-8B-Instruct,v13,English,0.124
5,Llama-3.1-8B-Instruct,v14,English,0.165
6,Llama-3.1-8B-Instruct,v15,English,0.165
7,Llama-3.1-8B-Instruct,v16,English,0.196
8,Llama-3.1-8B-Instruct,v17,English,0.186
9,Llama-3.1-8B-Instruct,v18,English,0.175
10,Llama-3.1-8B-Instruct,v19,English,0.237
11,Llama-3.1-8B-Instruct,v2,English,0.206
12,Llama-3.1-8B-Instruct,v20,English,0.268
13,Llama-3.1-8B-Instruct,v3,English,0.155
14,Llama-3.1-8B-Instruct,v4,English,0.175
15,Llama-3.1-8B-Instruct,v5,English,0.113
16,Llama-3.1-8B-Instruct,v6,English,0.134
17,Llama-3.1-8B-Instruct,v7,English,0.165
18,Llama-3.1-8B-Instruct,v8,English,0.216
19,Llama-3.1-8B-Instruct,v9,English,0.134
