,model,gsm_var,language,accuracy
0,Llama-3.2-1B-Instruct,v1,English,0.093
1,Llama-3.2-1B-Instruct,v10,English,0.124
2,Llama-3.2-1B-Instruct,v11,English,0.113
3,Llama-3.2-1B-Instruct,v12,English,0.144
4,Llama-3.2-1B-Instruct,v13,English,0.144
5,Llama-3.2-1B-Instruct,v14,English,0.093
6,Llama-3.2-1B-Instruct,v15,English,0.072
7,Llama-3.2-1B-Instruct,v16,English,0.082
8,Llama-3.2-1B-Instruct,v17,English,0.082
9,Llama-3.2-1B-Instruct,v18,English,0.062
10,Llama-3.2-1B-Instruct,v19,English,0.134
11,Llama-3.2-1B-Instruct,v2,English,0.082
12,Llama-3.2-1B-Instruct,v20,English,0.093
13,Llama-3.2-1B-Instruct,v3,English,0.062
14,Llama-3.2-1B-Instruct,v4,English,0.113
15,Llama-3.2-1B-Instruct,v5,English,0.082
16,Llama-3.2-1B-Instruct,v6,English,0.082
17,Llama-3.2-1B-Instruct,v7,English,0.113
18,Llama-3.2-1B-Instruct,v8,English,0.155
19,Llama-3.2-1B-Instruct,v9,English,0.113
