name,inputs,expected_output,output,task_duration,correct
491,"Kasper lægger mandler på nogle skåle. Hver skål kan rumme 23 mandler. Hvis han har 188 mandler og 8 skåle, hvor mange mandler vil han ikke kunne lægge på en skål?","Kasper vil være i stand til at lægge i alt 23*8 = <<23*8=184>>184 mandler.
Derfor er der 188 - 184 = <<188-184=4>>4 mandler, som han ikke vil kunne lægge på en skål.
#### 4"," 8*23=<<8*23=184>>184 mandler passer i 8 skåle med hver 23 mandler.
184+23=<<184+23=207>>207 mandler vil ikke passe på 8 skåle, hver med 23 mandler.
#### 207",2.6556495780823752,False
320,"I starten af samlingen var der 60 ingeniører og 15 sygeplejersker. Efter to timer forlod 1/5 af det samlede antal personer. Hvor mange sygeplejersker er tilbage, hvis 26 ingeniører blev til samlingen?","Der var i alt 60 ingeniører + 15 sygeplejersker = <<60+15=75>>75 personer, der deltog i samlingen.
Efter to timer forlod 75 personer*1/5 = <<75*1/5=15>>15 personer forlod samlingen.
Dette betyder, at 75 personer - 15 personer = <<75-15=60>>60 personer blev.
Ud af de 60, der blev, var 60 personer - 26 ingeniører = <<60-26=34>>34 sygeplejersker.
#### 34"," Man definere fordelingen af ingeniører og sygeplejersker på den formelle oplevelse som n = \ begin \ math \ belonging to a^\rt^{D),%\&rt;^{D)} ?..
\dssss602442Kh5d)); & tythre=DXm5p:dddx& = & n ssssf9985757b;6 = & ssscccdddrdddg^'. v^' =; d«st; 9 desxgergsrz d^' 7? = DXK3y767'? dx^' de ^+X 7;6 XS (#### 9",1.8174945849459618,False
11,"Ellen gik til konditoriet og købte forskellige typer boller. Hun købte 2 dusin croissanter, som kostede 99 kr per dusin, 6 dusin napoleonshatte, som kostede 573 kr per dusin og 7 dusin scones for 808 kr per dusin. Hvor meget var de samlede omkostninger?","Den samlede pris for croissanter var 2*99 kr = <<2*99=198>>198 kr.
Den samlede pris for napoleonshatte var 6*573 kr = <<6*573=3438>>3438 kr.
Den samlede pris for scones var 7*808 kr = <<7*808=5656>>5656 kr.
Derfor var det samlede beløb, Ellen betalte for bollerne 198 kr + 3438 kr + 5656 kr = <<198+3438+5656=9292>>9292 kr.
#### 9292"," Pris per husin: De 2 croissanter koster 99 pro dussin, altså 2*99=<<2*99=198>>198 kr.
De 6 husin napoleonshatte koster 573 pro dussin, altså 6*573=<<6*573=3438>>3438 kr.
De 7 husin scones koster 808 pro dussin, altså 7*808=<<7*808=5656>>5656 kr.
Omkostning: 198+3438+5656=<<198+3438+5656=8292>>Til t#### 8292",1.613056686008349,False
989,Ella kan skrælle 8 svampe i minuttet og sautere 40 svampe på 17 minutter. Hvor lang tid vil det tage hende at skrælle og sautere 80 svampe?,"Først find ud af, hvor lang tid det tager Ella at skrælle svampene: 80 svampe / 8 svampe/minut = <<80/8=10>>10 minutter
Derefter finder du ud af, hvor mange portioner svampe hun skal tilberede: 80 svampe / 40 svampe/portion = <<80/40=2>>2 portioner
Derefter ganger du antallet af portioner med tiden per portion for at finde den samlede tilberedningstid: 2 portioner * 17 minutter/portion = <<2*17=34>>34 minutter
Til sidst tilføjer du skrælletiden for at finde den samlede tid Ella bruger: 34 minutter + 10 minutter = <<34+10=44>>44 minutter
#### 44"," Og da Ella skræller 8 svampe i minuttet, så skræller hun 17 minutter med 17*8=<<17*8=136>>136 svampe.
Således passerer Ella 17 minutter i at skrælle 136 svampe.
Og da Ella sauterer, 40 svampe på 17 minutter, så sauterer hun 1 svamp i minuttet.
Således passerer Ella 17 minutter i at sautere 1 svamp.#### 17",1.3444663810078055,False
991,"Kometen Encke kredser rundt om solen hvert 60 år. Simons far så kometen, da han var 48 år gammel. Simon så kometen anden gang, da han var to gange så gammel som hans far var, da han så kometen. Hvor gammel var Simon, da han så kometen for første gang?","Simon så kometen for anden gang, da han var 48 år * 2= <<48*2=96>>96 år gammel.
Kometen Encke kan ses hvert 60 år, så Simon så kometen for første gang, da han var 96 år - 60 år = <<96-60=36>>36 år gammel.
#### 36"," Da Simon's far så kometen for første gang, så han den da han var 48 år gammel, dvs hver 60-48=<<60-48=12>>12 år google
Da Simon så kometen for første gang, så han enn gang 2 ganger større, dvs. 2*12=<<2*12=24>>24 år google
#### 24",0.5030767399584875,False
1305,"Jensen-familien har travlt med at lave muffins. Indtil videre har de lavet 9145 muffins. De har 1345 jordbær muffins, 2175 appelsin muffins og nogle vanilje muffins. Hvor mange vanilje muffins har de lavet?","Det samlede antal jordbær og appelsin muffins er 1345 + 2175 = <<1345+2175=3520>>3520.
Derfor har de lavet 9145 - 3520 = <<9145-3520=5625>>5625 vanilje muffins.
#### 5625"," Tjekk tværsætningen, som giver: 89415=1345j+2175a+v → v=89415-1345j-2175a → v=89415-1345*15-2175*10=<<89415-1345
51415-2175*10=<<51415-2175*10=18215>>18215>>18215 .
Eller 12225%21225 utan aid%útán áid→v=89415-1345*15-2175*10=<<89415-1345
#### 1",0.7596623379504308,False
220,Det tager Alma 12 minutter at fuldføre en skak opgave og 11 minutter at fuldføre en sudoku. I løbet af ugen løste hun 4 skak opgave og 9 sudoku. Hvor meget tid brugte hun på at spille disse spil?,"Det tager 12 minutter at fuldføre en skak opgave og hun fuldførte 4, hvilket i alt giver 12*4 = <<12*4=48>>48 minutter
Det tager 11 minutter at fuldføre en sudoku og hun fuldførte 9, hvilket i alt giver 11*9 = <<11*9=99>>99 minutter
Hun brugte 48 minutter på skak opgave og 99 minutter på sudoku, i alt 48+99 = <<48+99=147>>147 minutter
#### 147"," Det tog Alma 12*4=<<12*4=48>>48 minutter at spille skak, men 11*9=<<11*9=99>>99 minutter at spille sudoku.
I alt spillede Alma da 48+99 =<<48+99=147>>147 minutter.
#### 1170",0.40425162098836154,False
520,"Olivia strikker vintertøj til sine 2 børnebørn. De er tvillinger, så de har alle samme størrelse. Hun vil lave en sweater, et hat, en poncho, handsker og sokker til hver af dem. Det kræver 8 garnnøgler at lave en sweater, 17 for et hat, 12 for en poncho, 5 for et par handsker og 10 for et par sokker. Hvor mange garnnøgler skal hun købe?","Et komplet sæt til hvert barn vil kræve 8 garnnøgler per sweater + 17 garnnøgler per hat + 12 garnnøgler per poncho + 5 garnnøgle per par handsker + 10 garnnøgler per par sokker = <<8+17+12+5+10=52>>52 garnnøgler.
Så for at strikke outfits til alle sine børnebørn, vil hun have brug for 2*52 = <<2*52=104>>104 garnnøgler.
#### 104"," Det kræver 8+17+12+5+10 =<<<8+17+12+5+10=52>>>=52 garnnøgler at lave et børnebarns vintertøj.
Hun har derfor 2*52=<<2*52=104>>104 garnnøgler.
#### 104",0.4305402128957212,True
496,"Lucas er 12 år gammel. Om tre år vil hans kusine Anna være fire gange så gammel, som Lucas er nu. Hvor gammel er Anna lige nu?","Om tre år bliver Anna 12*4=<<12*4=48>>48.
Lige nu er Anna 48-3=<<48-3=45>>45 år gammel.
#### 45"," Anna er 12*4=<<12*4=48>>48 år gammel
#### 12",0.13577193208038807,False
737,"Carl ønsker at lave isterninger af forskellig størrelse med 156 gram vand. Han kan lave store isterninger, der bruger 8 gram per terning, mellemstore isterninger, der bruger 3 gram og små isterninger, der bruger 1/8 gram. Hvis han laver 6 store isterninger, 7 mellemstore isterninger og 8 små isterninger, hvor mange gram vand har han tilbage?","De store terninger brugte 48 gram vand, fordi 6 gange 8 er lig med <<6*8=48>>48.
Mellemstore tern brugte 21 gram vand, fordi 7 gange 3 er lig med <<7*3=21>>21.
De små tern brugte 1 gram vand, fordi 8 gange 1/8 er lig med 1.
Dette betyder, at Carl har brugt 70 gram vand, fordi 48 plus 21 plus 1 er lig med 70.
Carl har 86 gram vand tilbage, fordi 156 minus 70 er lig med <<156-70=86>>86.
#### 86"," En stor isterning bruger 8 gram vand, 6 store isterninger bliver derfor 6*8=<<6*8=48>>48 gram vand.
En mellemstor isterning bruger 3 gram vand, 7 mellemstore isterninger bliver derfor 7*3=<<7*3=21>>21 gram vand.
En lille isterning bruger 1/8 gram vand, 7 mellemstore isterninger bliver derfor 8*1/0=#### 1",1.4636130951112136,False
