,model,gsm_var,language,accuracy
0,Llama-3.1-70B,v1,Danish,0.247
1,Llama-3.1-70B,v10,Danish,0.268
2,Llama-3.1-70B,v11,Danish,0.32
3,Llama-3.1-70B,v12,Danish,0.278
4,Llama-3.1-70B,v13,Danish,0.278
5,Llama-3.1-70B,v14,Danish,0.237
6,Llama-3.1-70B,v15,Danish,0.237
7,Llama-3.1-70B,v16,Danish,0.33
8,Llama-3.1-70B,v17,Danish,0.351
9,Llama-3.1-70B,v18,Danish,0.289
10,Llama-3.1-70B,v19,Danish,0.144
11,Llama-3.1-70B,v2,Danish,0.268
12,Llama-3.1-70B,v20,Danish,0.309
13,Llama-3.1-70B,v3,Danish,0.289
14,Llama-3.1-70B,v4,Danish,0.309
15,Llama-3.1-70B,v5,Danish,0.289
16,Llama-3.1-70B,v6,Danish,0.33
17,Llama-3.1-70B,v7,Danish,0.33
18,Llama-3.1-70B,v8,Danish,0.268
19,Llama-3.1-70B,v9,Danish,0.371
