,model,gsm_var,language,accuracy
0,gemma-3-1b-it,v1,English,0.0
1,gemma-3-1b-it,v10,English,0.0
2,gemma-3-1b-it,v11,English,0.0
3,gemma-3-1b-it,v12,English,0.0
4,gemma-3-1b-it,v13,English,0.0
5,gemma-3-1b-it,v14,English,0.01
6,gemma-3-1b-it,v15,English,0.0
7,gemma-3-1b-it,v16,English,0.01
8,gemma-3-1b-it,v17,English,0.0
9,gemma-3-1b-it,v18,English,0.0
10,gemma-3-1b-it,v19,English,0.0
11,gemma-3-1b-it,v2,English,0.0
12,gemma-3-1b-it,v20,English,0.0
13,gemma-3-1b-it,v3,English,0.0
14,gemma-3-1b-it,v4,English,0.0
15,gemma-3-1b-it,v5,English,0.0
16,gemma-3-1b-it,v6,English,0.0
17,gemma-3-1b-it,v7,English,0.0
18,gemma-3-1b-it,v8,English,0.0
19,gemma-3-1b-it,v9,English,0.0
