,model,language,accuracy
0,gemma-3-1b-it,Danish,0.0
1,gemma-3-1b-pt,Danish,0.0
2,Llama-3.1-70B,Danish,0.392
3,Llama-3.1-8B-Instruct,Danish,0.113
4,Llama-3.1-8B,Danish,0.082
5,Llama-3.2-1B-Instruct,Danish,0.062
6,Llama-3.2-1B,Danish,0.031
7,OLMo-1B-hf,Danish,0.0
8,Pleias-1.2b-Preview,Danish,0.0
9,gemma-3-1b-it,English,0.0
10,gemma-3-1b-pt,English,0.01
11,Llama-3.1-70B,English,0.474
12,Llama-3.1-8B-Instruct,English,0.268
13,Llama-3.1-8B,English,0.155
14,Llama-3.2-1B-Instruct,English,0.155
15,Llama-3.2-1B,English,0.021
16,OLMo-1B-hf,English,0.0
17,Pleias-1.2b-Preview,English,0.01
