,model,gsm_var,language,accuracy
0,Llama-3.1-70B,v1,English,0.351
1,Llama-3.1-70B,v10,English,0.186
2,Llama-3.1-70B,v11,English,0.392
3,Llama-3.1-70B,v12,English,0.309
4,Llama-3.1-70B,v13,English,0.247
5,Llama-3.1-70B,v14,English,0.268
6,Llama-3.1-70B,v15,English,0.412
7,Llama-3.1-70B,v16,English,0.361
8,Llama-3.1-70B,v17,English,0.351
9,Llama-3.1-70B,v18,English,0.34
10,Llama-3.1-70B,v19,English,0.32
11,Llama-3.1-70B,v2,English,0.278
12,Llama-3.1-70B,v20,English,0.392
13,Llama-3.1-70B,v3,English,0.34
14,Llama-3.1-70B,v4,English,0.32
15,Llama-3.1-70B,v5,English,0.33
16,Llama-3.1-70B,v6,English,0.32
17,Llama-3.1-70B,v7,English,0.299
18,Llama-3.1-70B,v8,English,0.433
19,Llama-3.1-70B,v9,English,0.268
