,model,gsm_var,language,accuracy
0,gemma-3-1b-pt,v1,Danish,0.0
1,gemma-3-1b-pt,v10,Danish,0.0
2,gemma-3-1b-pt,v11,Danish,0.0
3,gemma-3-1b-pt,v12,Danish,0.0
4,gemma-3-1b-pt,v13,Danish,0.0
5,gemma-3-1b-pt,v14,Danish,0.0
6,gemma-3-1b-pt,v15,Danish,0.01
7,gemma-3-1b-pt,v16,Danish,0.01
8,gemma-3-1b-pt,v17,Danish,0.0
9,gemma-3-1b-pt,v18,Danish,0.0
10,gemma-3-1b-pt,v19,Danish,0.0
11,gemma-3-1b-pt,v2,Danish,0.0
12,gemma-3-1b-pt,v20,Danish,0.0
13,gemma-3-1b-pt,v3,Danish,0.0
14,gemma-3-1b-pt,v4,Danish,0.0
15,gemma-3-1b-pt,v5,Danish,0.0
16,gemma-3-1b-pt,v6,Danish,0.0
17,gemma-3-1b-pt,v7,Danish,0.01
18,gemma-3-1b-pt,v8,Danish,0.0
19,gemma-3-1b-pt,v9,Danish,0.0
